=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-8-27_11-38-6
====================================================================================
11:38:6 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
11:38:6 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
11:38:6 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
11:38:6 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
11:38:6 | Building Sets Loaded: 8
11:38:9 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
11:38:9 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
11:39:59 | Player "tsifthanos" (steamId=76561198123155229) connected to server!
11:41:5 | "tsifthanos" (steamid=76561198123155229) toggled godmode
11:41:11 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=SkyTraderF)
11:42:53 | "tsifthanos" (steamid=76561198123155229) /heal used on: "tsifthanos" (steamid=76561198123155229)
11:48:9 | "tsifthanos" (steamid=76561198123155229) deleted object "IMP_Vest_BombVest_Tan" (pos=<353.276245, 293.371338, 595.484802>)
11:54:41 | "tsifthanos" (steamid=76561198123155229) toggled godmode
11:54:43 | "tsifthanos" (steamid=76561198123155229) toggled godmode
11:54:48 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=BM Inside)
11:56:0 | "tsifthanos" (steamid=76561198123155229) deleted object "ZmbM_Mummy" (pos=<11204.241211, 3.346184, 2380.622559>)
11:57:19 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=Mafia Island)
11:58:57 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<8317.360352, 215.329590, 10340.400391>)
11:58:57 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=8317.36,0,10340.4)
11:59:3 | "tsifthanos" (steamid=76561198123155229) toggled freecam
11:59:6 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<8318.877930, 217.519882, 10230.848633>)
11:59:7 | "tsifthanos" (steamid=76561198123155229) toggled freecam
12:0:19 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10445.799805, 4.666018, 12272.599609>)
12:0:19 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10445.8,0,12272.6)
12:0:25 | "tsifthanos" (steamid=76561198123155229) toggled freecam
12:0:30 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<11219.666992, 1.992503, 11630.165039>)
12:0:31 | "tsifthanos" (steamid=76561198123155229) toggled freecam
12:4:9 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=Concrete Underground)
12:12:50 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=Mafia Island)
12:13:59 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=BM Inside)
12:15:0 | Player "tsifthanos" (steamId=76561198123155229) initiated disconnect process...
12:15:2 | Player "tsifthanos" (steamId=76561198123155229) disconnected early from server (EXIT NOW).
12:15:10 | Player "tsifthanos" (steamId=76561198123155229) disconnected from server.
