=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-8-27_20-3-21
====================================================================================
20:3:21 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
20:3:21 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
20:3:21 | [PermissionManager] Perm (MenuBansManager) has been registered!
20:3:21 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
20:3:21 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
20:3:21 | [PermissionManager] Perm (MenuWebHooks) has been registered!
20:3:21 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
20:3:21 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
20:3:21 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
20:3:21 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
20:3:21 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
20:3:21 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
20:3:21 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
20:3:21 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
20:3:21 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
20:3:21 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
20:3:21 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
20:3:21 | [PermissionManager] Perm (EspToolsMenu) has been registered!
20:3:21 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
20:3:21 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
20:3:21 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
20:3:21 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
20:3:21 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:3:21 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
20:3:21 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:3:21 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:3:21 | [PermissionManager] Adding Super Admin (76561198811763280)
20:3:21 | [PermissionManager] Loaded UserGroups.json
20:3:21 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
20:3:21 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:3:21 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:3:21 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:3:21 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:3:21 | Building Sets Loaded: 8
20:3:24 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
20:3:24 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
20:13:13 | Player "tsifthanos" (steamId=76561198123155229) connected to server!
20:13:31 | "tsifthanos" (steamid=76561198123155229) toggled godmode
20:14:57 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (FS_ExoStorm_Jacket_DOLG)
20:15:0 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (FS_ExoStorm_Jacket_DOLG)
20:15:15 | "tsifthanos" (steamid=76561198123155229) /heal used on: "tsifthanos" (steamid=76561198123155229)
20:17:8 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (FS_ExoTypeJacket_Standart)
20:18:21 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (FS_RF_Jacket_VKPO)
20:18:40 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (FS_RangerJacket_Green)
20:19:54 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (FS_OldMilitary_Standart)
20:23:32 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (FS_Balaxon_Black)
21:33:0 | "tsifthanos" (steamid=76561198123155229) /heal used on: "tsifthanos" (steamid=76561198123155229)
21:33:3 | Player "tsifthanos" (steamId=76561198123155229) initiated disconnect process...
21:33:7 | Player "tsifthanos" (steamId=76561198123155229) disconnected early from server (EXIT NOW).
21:33:13 | Player "tsifthanos" (steamId=76561198123155229) disconnected from server.
21:36:29 | Player "tsifthanos" (steamId=76561198123155229) connected to server!
21:37:48 | "tsifthanos" (steamid=76561198123155229) toggled godmode
21:38:48 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<6414.799805, 15.090000, 6354.609863>)
21:38:48 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=6414.8,0,6354.61)
22:3:7 | Player "tsifthanos" (steamId=76561198123155229) initiated disconnect process...
22:3:8 | Player "tsifthanos" (steamId=76561198123155229) disconnected early from server (EXIT NOW).
22:3:17 | Player "tsifthanos" (steamId=76561198123155229) disconnected from server.
