=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-8-28_21-0-51
====================================================================================
21:0:51 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
21:0:51 | [PermissionManager] Perm (FreeCamera) has been registered!
21:0:51 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
21:0:51 | [PermissionManager] Perm (MenuItemManager) has been registered!
21:0:51 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
21:0:51 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
21:0:51 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
21:0:51 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
21:0:51 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
21:0:51 | [PermissionManager] Perm (MenuServerManager) has been registered!
21:0:51 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
21:0:51 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
21:0:51 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
21:0:51 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
21:0:51 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
21:0:51 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
21:0:51 | [PermissionManager] Perm (MenuObjectManager) has been registered!
21:0:51 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
21:0:51 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
21:0:51 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
21:0:51 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
21:0:51 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
21:0:51 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
21:0:51 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
21:0:51 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
21:0:51 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
21:0:51 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
21:0:51 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
21:0:51 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
21:0:51 | [PermissionManager] Perm (MenuBansManager) has been registered!
21:0:51 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
21:0:51 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
21:0:51 | [PermissionManager] Perm (MenuWebHooks) has been registered!
21:0:51 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
21:0:51 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
21:0:51 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
21:0:51 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
21:0:51 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
21:0:51 | [PermissionManager] Perm (EspToolsMenu) has been registered!
21:0:51 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
21:0:51 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
21:0:51 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
21:0:51 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
21:0:51 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
21:0:51 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
21:0:51 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
21:0:51 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
21:0:51 | [PermissionManager] Adding Super Admin (76561198811763280)
21:0:51 | [PermissionManager] Loaded UserGroups.json
21:0:51 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
21:0:51 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
21:0:51 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
21:0:51 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
21:0:51 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
21:0:51 | Building Sets Loaded: 9
21:0:54 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
21:0:54 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
21:2:1 | Player "tsifthanos" (steamId=76561198123155229) connected to server!
21:2:13 | "tsifthanos" (steamid=76561198123155229) toggled godmode
21:2:15 | "tsifthanos" (steamid=76561198123155229) deleted object "RFWC_DragBoat_Red" (pos=<11261.262695, -0.121375, 11658.732422>)
21:3:33 | "tsifthanos" (steamid=76561198123155229) deleted object "Renegade_BlackAdminProtectorCase" (pos=<11276.679688, 2.087797, 11669.153320>)
21:3:46 | "tsifthanos" (steamid=76561198123155229) deleted object "RFWC_DragBoat_Black" (pos=<11266.728516, -0.004897, 11660.318359>)
21:3:48 | "tsifthanos" (steamid=76561198123155229) deleted object "RFWC_CarpBoat" (pos=<11281.775391, 0.158584, 11655.977539>)
21:3:51 | "tsifthanos" (steamid=76561198123155229) deleted object "RFWC_CarpBoat" (pos=<11277.316406, 0.212478, 11644.835938>)
21:3:53 | "tsifthanos" (steamid=76561198123155229) deleted object "RFWC_Whaler" (pos=<11272.559570, -0.141554, 11641.265625>)
21:3:59 | "tsifthanos" (steamid=76561198123155229) deleted object "RFWC_DragBoat_Red" (pos=<11333.704102, 0.004436, 11664.516602>)
21:4:35 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (HM_Recycler)
21:4:50 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (CarBattery)
21:5:33 | "tsifthanos" (steamid=76561198123155229) deleted object "HM_Recycler" (pos=<11241.230469, 0.284143, 11634.954102>)
21:12:18 | Player "tsifthanos" (steamId=76561198123155229) initiated disconnect process...
21:12:22 | Player "tsifthanos" (steamId=76561198123155229) disconnected early from server (EXIT NOW).
21:12:28 | Player "tsifthanos" (steamId=76561198123155229) disconnected from server.
21:14:36 | Player "tsifthanos" (steamId=76561198123155229) connected to server!
21:15:24 | "tsifthanos" (steamid=76561198123155229) toggled godmode
21:15:53 | [BuildingSetManager] Saved: $profile:VPPAdminTools/ConfigurablePlugins/BuildingSetManager/BoatTrader.vpp
21:15:53 | [BuildingSetManager] Saving & Reloading Building Set:BoatTrader
21:15:53 | "tsifthanos" (steamid=76561198123155229) updated building set (BoatTrader)
21:15:53 | [BuildingSetManager] Deleted file: BoatTrader
21:15:53 | [BuildingSetManager] Saved: $profile:VPPAdminTools/ConfigurablePlugins/BuildingSetManager/BoatTrader.vpp
21:16:19 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=SkyTraderF)
21:25:35 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=BM Inside)
21:26:1 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (A2AS50)
21:28:47 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:28:51 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<11185.654297, 40.304241, 2339.641846>)
21:28:52 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:29:7 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:29:11 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<11182.580078, 3.250039, 2332.819580>)
21:29:13 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:29:18 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=BM Inside)
21:30:20 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:30:25 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<11209.736328, 39.993282, 2378.409912>)
21:30:26 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:30:34 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:30:38 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<11210.511719, 5.288855, 2377.714355>)
21:30:39 | "tsifthanos" (steamid=76561198123155229) toggled freecam
21:36:1 | Player "tsifthanos" (steamId=76561198123155229) initiated disconnect process...
21:36:6 | Player "tsifthanos" (steamId=76561198123155229) disconnected early from server (EXIT NOW).
21:36:11 | Player "tsifthanos" (steamId=76561198123155229) disconnected from server.
