=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-8-28_19-5-58
====================================================================================
19:5:58 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
19:5:58 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
19:5:58 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
19:5:58 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
19:5:58 | Building Sets Loaded: 9
19:6:1 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
19:6:1 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
19:7:6 | Player "tsifthanos" (steamId=76561198123155229) connected to server!
19:7:22 | "tsifthanos" (steamid=76561198123155229) toggled godmode
19:7:39 | [BuildingSetManager] Saved: $profile:VPPAdminTools/ConfigurablePlugins/BuildingSetManager/BoatTrader.vpp
19:7:39 | [BuildingSetManager] Saving & Reloading Building Set:BoatTrader
19:7:39 | "tsifthanos" (steamid=76561198123155229) updated building set (BoatTrader)
19:7:39 | [BuildingSetManager] Deleted file: BoatTrader
19:7:39 | [BuildingSetManager] Saved: $profile:VPPAdminTools/ConfigurablePlugins/BuildingSetManager/BoatTrader.vpp
19:7:44 | "tsifthanos" (steamid=76561198123155229) deleted object "RFWC_Whaler" (pos=<11278.012695, 0.214022, 11661.687500>)
19:8:22 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:8:35 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:8:58 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:8:59 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:9:0 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:9:1 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:9:1 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:9:2 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:9:2 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:9:48 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (ExpansionBriefcase)
19:9:53 | "tsifthanos" (steamid=76561198123155229) deleted object "ExpansionBriefcase" (pos=<11277.670898, 2.302320, 11666.861328>)
19:10:14 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:10:24 | "tsifthanos" (steamid=76561198123155229) edited preset: (Cash)
19:10:25 | "tsifthanos" (steamid=76561198123155229) spawned preset: (Cash)
19:11:15 | "tsifthanos" (steamid=76561198123155229) deleted object "Renegade_BlackAdminProtectorCase" (pos=<11276.569336, 2.086045, 11666.221680>)
19:13:28 | "tsifthanos" (steamid=76561198123155229) toggled freecam
19:13:37 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<365.611633, 78.344398, 815.890442>)
19:13:43 | "tsifthanos" (steamid=76561198123155229) toggled freecam
19:13:45 | "tsifthanos" (steamid=76561198123155229) toggled freecam
19:13:49 | "tsifthanos" (steamid=76561198123155229) toggled freecam
19:13:56 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.868822, 1.719509, -0.068294>)
19:13:56 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.862009, 1.732195, -0.066149>)
19:14:8 | "tsifthanos" (steamid=76561198123155229) toggled freecam
19:14:14 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-3.434380, 9.526155, 1.367993>)
19:14:35 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<263.245026, 15.282112, 446.363434>)
19:14:43 | "tsifthanos" (steamid=76561198123155229) deleted objects using ESP
19:14:47 | "tsifthanos" (steamid=76561198123155229) toggled freecam
19:15:13 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.246230, 0.666168, 0.949064>)
19:15:14 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.378215, 1.214631, 1.184616>)
19:15:14 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.549351, 2.375106, 1.421115>)
19:15:14 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.646369, 2.094290, 1.522650>)
19:15:14 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.757743, 2.860159, 1.731160>)
19:15:14 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.770275, 1.686729, 1.800604>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.858765, 2.519454, 2.032847>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1.948544, 5.293530, 2.284384>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.082255, 6.754985, 2.533148>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.243100, 6.640746, 2.760389>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.241773, 6.578987, 2.761102>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.240433, 6.517222, 2.761812>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.238321, 6.418057, 2.763094>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.236580, 6.335639, 2.764248>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.235028, 6.262370, 2.765257>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.233470, 6.189095, 2.766250>)
19:15:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.232300, 6.123317, 2.767174>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.230760, 6.028378, 2.768518>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.229223, 5.933434, 2.769830>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.227391, 5.808478, 2.771466>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.226484, 5.729890, 2.772403>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.225687, 5.661125, 2.773216>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.224555, 5.562889, 2.774352>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.223858, 5.493030, 2.775119>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.223211, 5.411794, 2.775961>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.222407, 5.310251, 2.776992>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.221841, 5.239169, 2.777709>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.235349, 5.327271, 2.798262>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.277462, 5.747897, 2.858846>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.310215, 6.075049, 2.905965>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.342968, 6.402203, 2.953077>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.375721, 6.729356, 3.000187>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.377494, 6.655343, 3.003070>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.377601, 6.571401, 3.003509>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.377707, 6.487457, 3.003947>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.377826, 6.392922, 3.004434>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.378328, 6.317115, 3.004730>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.379114, 6.197991, 3.005192>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.379613, 6.122184, 3.005486>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.380184, 6.035547, 3.005821>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.381823, 5.935054, 3.005974>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.383312, 5.845715, 3.006098>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.384618, 5.767538, 3.006205>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.386292, 5.667023, 3.006339>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.388590, 5.575091, 3.006260>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.390973, 5.483024, 3.006150>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.393345, 5.390952, 3.006027>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.395713, 5.298873, 3.005889>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.398221, 5.216511, 3.005643>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.401672, 5.109865, 3.005236>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.404346, 5.026911, 3.004894>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.407397, 4.932096, 3.004475>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.409799, 4.860314, 3.004116>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.414266, 4.738400, 3.003356>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.417398, 4.653045, 3.002778>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.420507, 4.567684, 3.002167>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.423621, 4.482310, 3.001519>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.450267, 4.848837, 3.042278>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.474782, 5.192104, 3.079974>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.499294, 5.535357, 3.117613>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.530566, 5.766736, 3.156894>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.534255, 5.654148, 3.155591>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.537099, 5.566577, 3.154536>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.540533, 5.453079, 3.153173>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.542799, 5.363410, 3.152174>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.545371, 5.260930, 3.150997>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.548238, 5.145642, 3.149630>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.550417, 5.055776, 3.148539>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.552011, 4.964077, 3.147444>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.554269, 4.833077, 3.145854>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.556052, 4.728279, 3.144563>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.559223, 4.648228, 3.145292>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.601219, 5.249359, 3.203183>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.629205, 5.650114, 3.241771>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.661844, 6.117662, 3.286789>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.699135, 6.652004, 3.338229>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.713647, 6.773870, 3.357106>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.714110, 6.680074, 3.356468>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.714569, 6.586279, 3.355824>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.715211, 6.452289, 3.354902>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.715610, 6.357240, 3.354407>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.716056, 6.233527, 3.353992>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.716446, 6.123561, 3.353619>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.716833, 6.013597, 3.353240>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.717096, 5.916597, 3.353036>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.717208, 5.775730, 3.353223>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.717286, 5.677124, 3.353351>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.717361, 5.578519, 3.353476>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.717436, 5.479915, 3.353598>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.716795, 5.350156, 3.354730>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.716267, 5.249221, 3.355648>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.715740, 5.148288, 3.356561>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.714983, 5.004092, 3.357866>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.713788, 4.901035, 3.359436>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.712506, 4.797864, 3.361076>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.711029, 4.679947, 3.362943>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.709352, 4.547284, 3.365034>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.707607, 4.442750, 3.366967>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.705196, 4.322321, 3.369450>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.702146, 4.171762, 3.372529>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.699995, 4.066356, 3.374660>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.697612, 3.959990, 3.376930>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.693681, 3.806205, 3.380471>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.691285, 3.713922, 3.382575>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.686857, 3.544712, 3.386358>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.683928, 3.435820, 3.388817>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.679988, 3.294382, 3.392070>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.677328, 3.200082, 3.394203>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.673301, 3.058620, 3.397337>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.679788, 3.045529, 3.408970>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.755900, 3.686672, 3.490379>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.804280, 4.094666, 3.542134>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.852641, 4.502660, 3.593831>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.899786, 4.848068, 3.646899>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.897480, 4.735479, 3.649058>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.893821, 4.558562, 3.652354>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.891452, 4.445982, 3.654405>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.889349, 4.332515, 3.656325>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.887394, 4.184719, 3.658526>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.885635, 4.053353, 3.660440>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.883412, 3.889158, 3.662776>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.882105, 3.773115, 3.664300>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.881037, 3.639067, 3.665896>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.879690, 3.471520, 3.667845>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.878730, 3.354240, 3.669193>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.888048, 3.385605, 3.683150>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.943981, 4.028542, 3.755421>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2.979563, 4.437685, 3.801404>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.010059, 4.788385, 3.840804>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.047452, 5.173182, 3.889439>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.047587, 5.019197, 3.890522>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.047698, 4.882324, 3.891476>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.047801, 4.745453, 3.892423>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.047872, 4.642702, 3.893127>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.048645, 4.485571, 3.894011>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.049420, 4.328435, 3.894885>)
19:15:16 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.050014, 4.206218, 3.895558>)
19:15:17 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.050604, 4.083995, 3.896231>)
19:15:17 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.052617, 3.906626, 3.896700>)
19:15:17 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.054175, 3.782243, 3.896967>)
19:15:17 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<3.056161, 3.622321, 3.897306>)
