=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-8-28_20-12-5
====================================================================================
20:12:5 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
20:12:5 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
20:12:5 | [PermissionManager] Perm (MenuBansManager) has been registered!
20:12:5 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
20:12:5 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
20:12:5 | [PermissionManager] Perm (MenuWebHooks) has been registered!
20:12:5 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
20:12:5 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
20:12:5 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
20:12:5 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
20:12:5 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
20:12:5 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
20:12:5 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
20:12:5 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
20:12:5 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
20:12:5 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
20:12:5 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
20:12:5 | [PermissionManager] Perm (EspToolsMenu) has been registered!
20:12:5 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
20:12:5 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
20:12:5 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
20:12:5 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
20:12:5 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:12:5 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
20:12:5 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:12:5 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:12:5 | [PermissionManager] Adding Super Admin (76561198811763280)
20:12:5 | [PermissionManager] Loaded UserGroups.json
20:12:5 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
20:12:5 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:12:5 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:12:5 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:12:5 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:12:5 | Building Sets Loaded: 9
20:12:7 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
20:12:7 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
20:14:59 | Player "tsifthanos" (steamId=76561198123155229) connected to server!
20:15:12 | "tsifthanos" (steamid=76561198123155229) toggled godmode
20:15:24 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<2444.979980, 19.813875, 4737.089844>)
20:15:24 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=2444.98,0,4737.09)
20:15:28 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:15:40 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:15:43 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<2402.573486, 0.779961, 4756.503906>)
20:16:17 | "tsifthanos" (steamid=76561198123155229) Spawned Item: (RFFSHeli_LittleBird)
20:19:18 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:19:30 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:23:6 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:23:12 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<1275.150879, 25.529623, 4795.307617>)
20:23:13 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:25:30 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11169.700195, 0.250000, 11669.299805>)
20:25:30 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11169.7,0,11669.3)
20:27:15 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11307.500000, -11.040000, 11709.799805>)
20:27:15 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11307.5,0,11709.8)
20:27:18 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11185.900391, 3.463058, 11636.799805>)
20:27:18 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11185.9,0,11636.8)
20:27:20 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11307.500000, -11.040000, 11709.799805>)
20:27:20 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11307.5,0,11709.8)
20:27:20 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11307.500000, -11.040000, 11709.799805>)
20:27:20 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11307.5,0,11709.8)
20:27:22 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11234.599609, -1.640616, 11677.400391>)
20:27:22 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11234.6,0,11677.4)
20:27:23 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11283.200195, -10.798497, 11709.799805>)
20:27:23 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11283.2,0,11709.8)
20:27:26 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<11234.599609, 0.250000, 11644.900391>)
20:27:26 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=11234.6,0,11644.9)
20:27:31 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10960.900391, -3.827790, 11847.599609>)
20:27:31 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10960.9,0,11847.6)
20:27:40 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=Mafia Island)
20:27:48 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185525, 2.110935, -1.641073>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185573, 2.110933, -1.641096>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185577, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185581, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185584, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185585, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185580, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185576, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185573, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185577, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185582, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185585, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185588, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185590, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185591, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185592, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185551, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185514, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185468, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185436, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185431, 2.110933, -1.641098>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185426, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185422, 2.110933, -1.641097>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185460, 2.110933, -1.641096>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185512, 2.110933, -1.641096>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185550, 2.110933, -1.641095>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185553, 2.110933, -1.641095>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185515, 2.110933, -1.641095>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185477, 2.110933, -1.641095>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185446, 2.110933, -1.641094>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185476, 2.110933, -1.641094>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185507, 2.110933, -1.641094>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185547, 2.110933, -1.641094>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185553, 2.110933, -1.641094>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185558, 2.110933, -1.641093>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185563, 2.110933, -1.641094>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.185567, 2.110933, -1.641094>)
20:27:49 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.277312, 2.150048, -1.489890>)
20:27:56 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-2.051989, 2.575313, -1.601692>)
20:27:56 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.876468, 2.031069, -1.015239>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-1.154049, 0.865659, -1.292414>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-1.110659, 0.810212, -1.292423>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-1.031394, 0.682381, -1.284741>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.979947, 0.545728, -1.277659>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.931354, 0.673348, -1.271997>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.884038, 0.799336, -1.257583>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.830352, 0.799756, -1.221916>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.834095, 1.193097, -1.201061>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.755418, 1.528929, -1.039763>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.742462, 1.602660, -1.031643>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.689266, 1.599281, -0.897108>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.617679, 1.587142, -0.777876>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.619452, 1.497469, -0.728830>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.621165, 1.400275, -0.673718>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.639733, 1.284770, -0.664778>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.699890, 1.066373, -0.730425>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.762212, 0.847979, -0.795520>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.821442, 1.258016, -0.858128>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.926007, 1.257534, -0.953405>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-1.152820, 1.218148, -1.079603>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-1.206434, 0.925992, -1.077273>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.886715, 1.416655, -1.076248>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.897810, 1.243250, -1.111142>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.911362, 1.069919, -1.146083>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.909979, 0.939122, -1.169921>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.880851, 0.929126, -1.163101>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.858982, 0.920140, -1.155147>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.763430, 1.603253, -1.407753>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.792668, 1.585384, -1.421708>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.815534, 1.570057, -1.429955>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.649135, 2.092308, -1.171894>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.649811, 2.095194, -1.188699>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.665113, 2.141516, -1.219983>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.710643, 2.350604, -1.247257>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.765859, 2.583057, -1.280949>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.689388, 1.144693, -1.236006>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.702022, 2.978029, -1.231511>)
20:27:57 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<-0.752030, 3.224152, -1.255341>)
20:28:10 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:28:15 | "tsifthanos" (steamid=76561198123155229) teleported to crosshair (pos=<486.459351, 15.835407, 611.938538>)
20:28:17 | "tsifthanos" (steamid=76561198123155229) toggled freecam
20:28:34 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10615.500000, 3.375532, 11999.500000>)
20:28:34 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10615.5,0,11999.5)
20:28:35 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10640.400391, -1.268930, 12045.299805>)
20:28:35 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10640.4,0,12045.3)
20:28:36 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10579.400391, 4.056783, 12017.799805>)
20:28:36 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10579.4,0,12017.8)
20:28:39 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10606.900391, 0.829563, 12033.000000>)
20:28:39 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10606.9,0,12033)
20:28:39 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10606.900391, 0.829563, 12033.000000>)
20:28:39 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10606.9,0,12033)
20:28:40 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10625.200195, 0.217033, 12042.200195>)
20:28:40 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10625.2,0,12042.2)
20:28:54 | "tsifthanos" (steamid=76561198123155229) toggled godmode
20:29:0 | "tsifthanos" (steamid=76561198123155229) executed kill command on: "76561198123155229"
20:30:18 | "76561198123155229" (steamid=76561198123155229) teleported to (pos=<10757.599609, 0.189342, 11898.500000>)
20:30:18 | "tsifthanos": (steamid=76561198123155229) teleported to (pos=10757.6,0,11898.5)
20:30:23 | "tsifthanos" (steamid=76561198123155229) toggled freecam
